"","x"
"1",0.77006351039261
"2",0.847352890123242
"3",0.864575818019777
"4",0.798145806995365
"5",0.831054230949042
"6",0.899544513457557
"7",0.914696623665206
"8",0.802043990224395
"9",0.877961579509071
"10",0.877194333230674
"11",0.801501543642998
"12",0.831202651515151
"13",0.732827877083752
"14",0.802485875706215
"15",0.897350781998085
"16",0.815133053623772
"17",0.766172750271052
"18",0.808072487644152
"19",0.801562074289347
"20",0.900022339107654
"21",0.920312782498644
"22",0.816355555555556
"23",0.889774892385858
"24",0.850273513322746
"25",0.907863444572305
"26",0.812388360702967
"27",0.718661869104347
"28",0.858757062146893
"29",0.850844686648501
"30",0.748496179483011
"31",0.686135494035562
"32",0.794223537883031
"33",0.816613383309448
"34",0.783359497645212
"35",0.868479230500718
"36",0.760532908221362
"37",0.796161525085335
"38",0.815806951516493
"39",0.718521102197419
"40",0.733942687747036
"41",0.705089554885618
"42",0.822479446127218
"43",0.81376787495843
"44",0.90172543135784
"45",0.702084045097369
"46",0.819119987677774
"47",0.71949854488471
"48",0.759496666798154
"49",0.722982113332331
"50",0.86756285785412
"51",0.732442166505056
"52",0.735732009925558
"53",0.881769186404948
"54",0.898151362610658
"55",0.741839762611276
"56",0.710531457600625
"57",0.828148959474261
"58",0.806247597749747
"59",0.808027809814655
"60",0.892114635964549
"61",0.824195008405535
"62",0.778848006164516
"63",0.799397590361446
"64",0.744286439817166
"65",0.80961168781238
"66",0.820821682082168
"67",0.770236715775534
"68",0.778470390793575
"69",0.777630833175893
"70",0.888590604026846
"71",0.908609271523179
"72",0.935137688984881
"73",0.656105183748249
"74",0.838562380321108
"75",0.770641321044547
"76",0.851237683249219
"77",0.924742836873842
"78",0.793745949449125
"79",0.79263267941701
"80",0.789126084056037
"81",0.790166355383747
"82",0.768307119905293
"83",0.899682931125594
"84",0.703192747339377
"85",0.836693091732729
"86",0.857767565965016
"87",0.828832660004253
"88",0.723428273706148
"89",0.804975922953451
"90",0.937508803230199
"91",0.75098615792871
"92",0.91290861894496
"93",0.770525242223355
"94",0.792421089911019
"95",0.799240765075193
"96",0.699634655532359
"97",0.809877191830301
"98",0.726135517498139
"99",0.925931552334035
"100",0.83193015279077
"101",0.844356714077119
"102",0.657988165680473
"103",0.706085143910847
"104",0.846778487752929
"105",0.701356589147287
"106",0.759950970905103
"107",0.77458904731632
"108",0.746036738802214
"109",0.850993377483444
"110",0.915445944509408
"111",0.789526255707763
"112",0.743179122182681
"113",0.784383438343834
"114",0.863510264471981
"115",0.869970801258959
"116",0.747253552072653
"117",0.911754595272279
"118",0.781654424623994
"119",0.74878231547396
"120",0.832467101625567
"121",0.778644704522468
"122",0.786942177461365
"123",0.911291201802522
"124",0.830574947054671
"125",0.778502461794232
"126",0.800941619585687
"127",0.847637913957194
"128",0.864835640138408
"129",0.734299990202802
"130",0.788545795952431
"131",0.839686651862818
"132",0.777886497064579
"133",0.845255175240828
"134",0.784862846474221
"135",0.798352255601326
"136",0.807370902078423
"137",0.809737491586269
"138",0.781040965762913
"139",0.703132769766285
"140",0.800726671196054
"141",0.805688538439876
"142",0.827671219367881
"143",0.721452024808464
"144",0.841923607915324
"145",0.810764696758182
"146",0.947657826964572
"147",0.841914618369987
"148",0.826981585268215
"149",0.737787246994369
"150",0.91249058442997
"151",0.846041055718475
"152",0.914764199383838
"153",0.693688063565753
"154",0.74410798978475
"155",0.815897335805602
"156",0.840695730452675
"157",0.713408925413503
"158",0.823292458977549
"159",0.927095355268602
"160",0.791961439788541
"161",0.826138731765406
"162",0.825663026521061
"163",0.757884362680683
"164",0.832502578205569
"165",0.885615085685163
"166",0.872796772138458
"167",0.76177801437317
"168",0.799348652071648
"169",0.746824724809483
"170",0.684017941454202
"171",0.909422718808194
"172",0.798277841561424
"173",0.818025513033833
"174",0.819170632222978
"175",0.728318066653674
"176",0.75387277869233
"177",0.791827128797604
"178",0.753518747888751
"179",0.791712179137084
"180",0.752503436088749
"181",0.87339179984864
"182",0.804010115606936
"183",0.70685305865041
"184",0.713621204142531
"185",0.909502458466004
"186",0.92340867342864
"187",0.890811411633939
"188",0.709072978303747
"189",0.800780843310776
"190",0.915355770989574
"191",0.856538545693239
"192",0.907592386178513
"193",0.722463010013451
"194",0.874840030714103
"195",0.682047584715213
"196",0.750693734482255
"197",0.744369873228934
"198",0.933746272080752
"199",0.754295532646048
"200",0.856600080594094
"201",0.897977367905195
"202",0.829982517482518
"203",0.708761539801428
"204",0.775239664469742
"205",0.785858284178302
"206",0.736534446764092
"207",0.829254410927718
"208",0.78336197021764
"209",0.812793427230047
"210",0.709568841160442
"211",0.786514981039297
"212",0.88401266323704
"213",0.888608507570296
"214",0.746372368689965
"215",0.80957165037903
"216",0.851859487094912
"217",0.841192222610316
"218",0.815487571701721
"219",0.871796578579511
"220",0.863697846217875
"221",0.797490948034066
"222",0.696629213483146
"223",0.762008495806557
"224",0.900031965903037
"225",0.844523709609736
"226",0.763080375929303
"227",0.736760344584098
"228",0.842162721213514
"229",0.698083067092652
"230",0.747751589393704
"231",0.914763754321567
"232",0.875714285714286
"233",0.736315220438073
"234",0.765969316596932
"235",0.70387848399941
"236",0.810888610763454
"237",0.821068272464221
"238",0.924924374369786
"239",0.868004846262157
"240",0.897744878636598
"241",0.801949058693245
"242",0.864514908690718
"243",0.807260058440099
"244",0.787772851296044
"245",0.761151960784314
"246",0.754688546550569
"247",0.830666666666667
"248",0.75352322350139
"249",0.743935742971888
"250",0.876371357791672
"251",0.859863860613252
"252",0.756179775280899
"253",0.657521196532343
"254",0.778193146417446
"255",0.783767165402746
"256",0.758148774924582
"257",0.813417534651029
"258",0.861624973722935
"259",0.751822398939695
"260",0.86679046734757
"261",0.784184417858185
"262",0.770777007170565
"263",0.823514570455406
"264",0.713813068651778
"265",0.777484221341553
"266",0.836514392991239
"267",0.865436758998352
"268",0.72234375
"269",0.806692003875102
"270",0.789281523014735
"271",0.779105799026118
"272",0.783159227603672
"273",0.845126107702795
"274",0.844476380904774
"275",0.786342123056119
"276",0.833466135458167
"277",0.772249474421864
"278",0.738753959873284
"279",0.716290637768698
"280",0.860614632891861
"281",0.780012703789964
"282",0.909590331188197
"283",0.847943498130453
"284",0.826953221681379
"285",0.777424606558648
"286",0.778609314829616
"287",0.783032416906032
"288",0.90293472075441
"289",0.843361818341996
"290",0.72018447018447
"291",0.878620985623346
"292",0.777268210655049
"293",0.879295774647887
"294",0.73174104336895
"295",0.78286285670333
"296",0.82299727520436
"297",0.705627118644068
"298",0.851671985569585
"299",0.782843102173239
"300",0.711116528522672
"301",0.765323565323565
"302",0.798342251600042
"303",0.882649891270581
"304",0.811816192560175
"305",0.952670470489197
"306",0.826933138014021
"307",0.845837615621788
"308",0.823770491803279
"309",0.805735641827473
"310",0.84040371675745
"311",0.895825583798305
"312",0.785067266977542
"313",0.807079785556607
"314",0.908750901225667
"315",0.846720872051465
"316",0.69848367029549
"317",0.799474145486415
"318",0.742203358553239
"319",0.839474499048967
"320",0.891131815044858
"321",0.902417599205591
"322",0.812322454390506
"323",0.87995787995788
"324",0.760870969826194
"325",0.75718629076838
"326",0.70222563315426
"327",0.810810810810811
"328",0.771217712177122
"329",0.833001280774157
"330",0.74507481967919
"331",0.767962372276585
"332",0.801414141414141
"333",0.891302531539811
"334",0.848546659867415
"335",0.792669702884407
"336",0.945018274273002
"337",0.806442731277533
"338",0.935441485634198
"339",0.784826267134205
"340",0.700665859564165
"341",0.866172368227867
"342",0.836528958292153
"343",0.759050101361135
"344",0.771857923497268
"345",0.733994395343824
"346",0.884800424698895
"347",0.680091683038638
"348",0.825731903783123
"349",0.799729770304759
"350",0.726481958762887
"351",0.753807505102842
"352",0.806110017805267
"353",0.816122500632751
"354",0.811297071129707
"355",0.773701842546064
"356",0.74392144638404
"357",0.761617195496418
"358",0.786889301175015
"359",0.755943218744655
"360",0.925749932438519
"361",0.807658102766798
"362",0.855708565882067
"363",0.637558027502847
"364",0.861456845541726
"365",0.792395362546669
"366",0.84519845198452
"367",0.806432645381314
"368",0.802663141920008
"369",0.948999764650506
"370",0.766590389016018
"371",0.835126344758569
"372",0.915568419756128
"373",0.757831924415714
"374",0.691748124573767
"375",0.809411406380873
"376",0.755077452667814
"377",0.80678761122991
"378",0.796323684766533
"379",0.744359694901646
"380",0.679124018090931
"381",0.875867954536638
"382",0.8589106827174
"383",0.696383866481224
"384",0.87088222681377
"385",0.774019889866031
"386",0.749139995645548
"387",0.822875244321628
"388",0.862802778994805
"389",0.757069180152943
"390",0.688636626896791
"391",0.784336118290557
"392",0.88937598845759
"393",0.823139820114473
"394",0.777674562625793
"395",0.843242673413451
"396",0.770710764827477
"397",0.800459645802352
"398",0.75434917676297
"399",0.766857820842397
"400",0.705349794238683
"401",0.921153089334907
"402",0.86853217369383
"403",0.788764783180026
"404",0.836328393167225
"405",0.818640415319816
"406",0.940519695984575
"407",0.8711467324291
"408",0.706822889694459
"409",0.745908699397071
"410",0.826435364564988
"411",0.813276087048028
"412",0.746289471062855
"413",0.84106901217862
"414",0.817945101442986
"415",0.866350960273612
"416",0.795519172770358
"417",0.717573872472784
"418",0.813127790178571
"419",0.876078142277921
"420",0.889018623387238
"421",0.801101694915254
"422",0.766297905966021
"423",0.941754062463985
"424",0.82286188762801
"425",0.910630995335739
"426",0.835775841082818
"427",0.803369489960766
"428",0.699016297166348
"429",0.69453044375645
"430",0.831815688425672
"431",0.853008511887291
"432",0.937934809881162
"433",0.90085769100553
"434",0.700845140442456
"435",0.760773534897418
"436",0.820779703545374
"437",0.826853146853147
"438",0.809874219217934
"439",0.709916008524508
"440",0.779782103947133
"441",0.650521251002406
"442",0.88580264589657
"443",0.816268429079817
"444",0.879503207764435
"445",0.816191932708851
"446",0.772705506783719
"447",0.710633254317643
"448",0.939621098541638
"449",0.780927268732147
"450",0.73096917935388
"451",0.926097953552541
"452",0.758751371297497
"453",0.830454477574792
"454",0.941771034226363
"455",0.757904099619956
